point,RSSI,Filtered RSSI,average rssi,average filtered rssi,Unnamed: 5
6.0,-65.0,-67.84845576195585,,,
6.0,-73.0,-71.03228519668737,,,
6.0,-71.0,-71.01233184780011,,,
6.0,-71.0,-71.0047103467155,,,
6.0,-72.0,-71.61983318109706,,,
6.0,-72.0,-71.85478919657405,,,
6.0,-82.0,-78.12487429612405,,,
6.0,-72.0,-74.33949380429878,,,
6.0,-72.0,-72.89360711677234,,,
6.0,-66.0,-68.63312361351888,,,
6.0,-72.0,-70.71396765628364,,,
6.0,-71.0,-70.89074536658214,,,
6.0,-74.0,-72.81237040971247,,,
6.0,-76.0,-74.78243384005506,,,
6.0,-75.0,-74.91689712170283,,,
6.0,-73.0,-73.73218954755363,,,
6.0,-76.0,-75.13377348720776,,,
6.0,-75.0,-75.05109692531977,,,
6.0,-66.0,-69.45721139000248,,,
6.0,-66.0,-67.32053724468769,,,
6.0,-75.0,-72.06670624280962,,,
6.0,-77.0,-75.11564946124095,,,
6.0,-76.0,-75.66220815216333,,,
6.0,-68.0,-70.92670308524987,,,
,,,,,
,,,,,
7.0,,,,,
7.0,-83.0,-81.125,-79.27272727272727,-79.34113834489874,
7.0,-86.0,-84.14285714285714,,,
7.0,-78.0,-80.34545454545454,,,
7.0,-78.0,-78.89583333333333,,,
7.0,-82.0,-80.81432360742706,,,
7.0,-80.0,-80.31104356636271,,,
7.0,-80.0,-80.1188080495356,,,
7.0,-81.0,-80.66341463414633,,,
7.0,-80.0,-80.253401840664,,,
7.0,-81.0,-80.71482487922705,,,
7.0,-81.0,-80.89107279661924,,,
7.0,-82.0,-81.57642749936282,,,
7.0,-81.0,-81.22017571270612,,,
7.0,-74.0,-76.75786171750656,,,
7.0,-79.0,-78.14357938356486,,,
7.0,-79.0,-78.67287643318791,,,
7.0,-76.0,-77.0209479497492,,,
7.0,-77.0,-77.00800140480958,,,
7.0,-76.0,-76.38502227592961,,,
7.0,-77.0,-76.76509941172917,,,
7.0,-72.0,-73.82010601550841,,,
7.0,-73.0,-73.31325262354596,,,
7.0,-78.0,-76.20982179887896,,,
7.0,-78.0,-77.31621277309091,,,
7.0,-75.0,-75.88471455414408,,,
7.0,-77.0,-76.57399886684112,,,
7.0,-76.0,-76.21924805762939,,,
7.0,-78.0,-77.31981328354682,,,
7.0,-77.0,-77.12215780426118,,,
7.0,-103.0,-93.11554383673398,,,
7.0,-76.0,-82.5375560096936,,,
7.0,-77.0,-79.11515818109672,,,
7.0,-77.0,-77.80791853359653,,,
7.0,-77.0,-77.3085974196929,,,
7.0,-75.0,-75.88180574798238,,,
7.0,-77.0,-76.57288780175404,,,
7.0,-77.0,-76.83685765727972,,,
7.0,-78.0,-77.55571915883503,,,
7.0,-77.0,-77.21226583047549,,,
7.0,-77.0,-77.08107833259142,,,
7.0,-77.0,-77.03096916729875,,,
7.0,-78.0,-77.62986315805473,,,
7.0,-78.0,-77.85862030686546,,,
7.0,-81.0,-79.80009972879132,,,
7.0,-79.0,-79.30561090200871,,,
7.0,-78.0,-78.49869898848492,,,
7.0,-78.0,-78.19048606344604,,,
7.0,-78.0,-78.07275920185322,,,
7.0,-78.0,-78.02779154211362,,,
7.0,-76.0,-76.77454744698784,,,
7.0,-79.0,-78.14995276509958,,,
7.0,-79.0,-78.6753108483109,,,
7.0,-76.0,-77.02187781358344,,,
7.0,-80.0,-78.86245854743903,,,
7.0,-86.0,-86.0,,,
7.0,-85.0,-85.33333333333333,,,
7.0,-84.0,-84.5,,,
7.0,-79.0,-81.0952380952381,,,
7.0,-83.0,-82.27272727272728,,,
7.0,-83.0,-82.72222222222223,,,
7.0,-83.0,-82.89389920424404,,,
7.0,-86.0,-84.81357649442756,,,
7.0,-83.0,-83.69272445820434,,,
7.0,-82.0,-82.64656319290467,,,
7.0,-82.0,-82.24696516289312,,,
7.0,-75.0,-77.76809437543133,,,
,,,,,
,,,,,
,,,,,
8.0,,,,,
8.0,-67.0,-67.0,-67.47619047619048,-67.48534414878084,
8.0,-66.0,-66.33333333333333,,,
8.0,-67.0,-66.75,,,
8.0,-67.0,-66.9047619047619,,,
8.0,-67.0,-66.96363636363635,,,
8.0,-66.0,-66.36805555555556,,,
8.0,-68.0,-67.37665782493369,,,
8.0,-82.0,-76.41438703140831,,,
8.0,-68.0,-71.21400928792569,,,
8.0,-68.0,-69.22764227642276,,,
8.0,-68.0,-68.46891762181694,,,
8.0,-67.0,-67.56107660455486,,,
8.0,-67.0,-67.21431219263054,,,
8.0,-67.0,-67.0818599733804,,,
8.0,-67.0,-67.0312677275131,,,
8.0,-68.0,-67.62997719790901,,,
8.0,-67.0,-67.24062987746382,,,
8.0,-67.0,-67.09191243448245,,,
8.0,-66.0,-66.41707343723365,,,
8.0,-66.0,-66.15930787721851,,,
8.0,-68.0,-67.29691817192166,,,
8.0,-65.0,-65.8773446722968,,,
8.0,-67.0,-66.57118382246853,,,
8.0,-67.0,-66.83620679510878,,,
8.0,-68.0,-67.55547055160773,,,
8.0,-65.0,-65.97610289346471,,,
8.0,-67.0,-66.6089061062862,,,
8.0,-68.0,-67.46864941414375,,,
8.0,-67.0,-67.1790081473952,,,
8.0,-68.0,-67.68640901679171,,,
8.0,-68.0,-67.88021890297993,,,
8.0,-68.0,-67.95424769214809,,,
8.0,-66.0,-66.74645619596453,,,
8.0,-68.0,-67.5211888732453,,,
8.0,-68.0,-67.81711042377134,,,
8.0,-68.0,-67.93014239806871,,,
8.0,-66.0,-66.73724879293502,,,
8.0,-68.0,-67.51767195823614,,,
8.0,-68.0,-67.81576708177339,,,
8.0,-69.0,-68.54766327583391,,,
8.0,-69.0,-68.82722274572833,,,
8.0,-68.0,-68.3159709726012,,,
8.0,-68.0,-68.1206901720753,,,
8.0,-68.0,-68.04609954362469,,,
8.0,-68.0,-68.01760845879878,,,
8.0,-67.0,-67.38869184402174,,,
8.0,-68.0,-67.76650106201633,,,
8.0,-68.0,-67.91081134202724,,,
8.0,-67.0,-67.3478989753155,,,
8.0,-64.0,-65.27878361766957,,,
8.0,-67.0,-66.34255384394291,,,
8.0,-67.0,-66.74887791415915,,,
8.0,-65.0,-65.66801192103478,,,
8.0,-68.0,-67.10925981519486,,,
8.0,-67.0,-67.0417335357999,,,
8.0,-66.0,-66.39790680345496,,,
8.0,-69.0,-68.00608884081466,,,
8.0,-67.0,-67.38429174148922,,,
8.0,-69.0,-68.38285436115278,,,
8.0,-69.0,-68.76427134196913,,,
8.0,-69.0,-68.90995966475461,,,
8.0,-64.0,-65.87543770854522,,,
8.0,-66.0,-65.95242143838084,,,
,,,,,
,,,,,
,,,,,
9.0,,,,,
9.0,-85.0,-85.0,-86.38888888888889,-86.35684446069679,
9.0,-84.0,-84.33333333333333,,,
9.0,-85.0,-84.75,,,
9.0,-84.0,-84.28571428571429,,,
9.0,-85.0,-84.72727272727273,,,
9.0,-90.0,-87.98611111111111,,,
9.0,-87.0,-87.37665782493369,,,
9.0,-87.0,-87.14387031408307,,,
9.0,-83.0,-84.5828173374613,,,
9.0,-85.0,-84.84065040650407,,,
9.0,-83.0,-83.70306589125403,,,
9.0,-89.0,-86.97675120772946,,,
9.0,-83.0,-84.51898379642978,,,
9.0,-87.0,-86.0523361368864,,,
9.0,-83.0,-84.16588865919908,,,
9.0,-84.0,-84.06336382946589,,,
9.0,-85.0,-84.64223681794853,,,
9.0,-85.0,-84.86334662437966,,,
9.0,-86.0,-85.56583704394033,,,
9.0,-88.0,-87.07023248494113,,,
9.0,-88.0,-87.64486041088304,,,
9.0,-88.0,-87.864348747708,,,
9.0,-88.0,-87.94818583224094,,,
9.0,-85.0,-86.12610678276515,,,
9.0,-88.0,-87.28423648230418,,,
9.0,-87.0,-87.10856867539749,,,
9.0,-86.0,-86.4234355551384,,,
9.0,-85.0,-85.5437040012678,,,
9.0,-87.0,-86.44374442616477,,,
9.0,-86.0,-86.16949528847663,,,
9.0,-86.0,-86.0647414392651,,,
9.0,-87.0,-86.64276301806858,,,
9.0,-85.0,-85.62747963744084,,,
9.0,-87.0,-86.47574387175374,,,
9.0,-88.0,-87.41778596657025,,,
9.0,-90.0,-89.01368200545679,,,
9.0,-91.0,-90.24129403855002,,,
9.0,-90.0,-90.09216612144338,,,
9.0,-86.0,-87.56306837078054,,,
9.0,-83.0,-84.74293702464855,,,
9.0,-83.0,-83.66574270316514,,,
9.0,-87.0,-85.72642703984643,,,
9.0,-88.0,-87.13157240512405,,,
9.0,-87.0,-87.05025618677581,,,
9.0,-87.0,-87.0191961552034,,,
9.0,-86.0,-86.38929829008448,,,
9.0,-85.0,-85.53066472630016,,,
9.0,-86.0,-85.8207298775659,,,
9.0,-85.0,-85.31349091764763,,,
9.0,-93.0,-90.06401478537616,,,
9.0,-87.0,-88.17034950598148,,,
9.0,-87.0,-87.44703373256827,,,
9.0,-87.0,-87.17075169172335,,,
9.0,-88.0,-87.68325533135167,,,
,,,,,
,,,,,
10.0,,,,,
10.0,-90.0,-90.0,-84.95161290322581,-85.0043865893093,
10.0,-83.0,-85.33333333333333,,,
10.0,-81.0,-82.625,,,
10.0,-83.0,-82.85714285714286,,,
10.0,-84.0,-83.56363636363636,,,
10.0,-84.0,-83.83333333333333,,,
10.0,-83.0,-83.3183023872679,,,
10.0,-83.0,-83.12158054711246,,,
10.0,-83.0,-83.04643962848297,,,
10.0,-83.0,-83.01773835920177,,,
10.0,-83.0,-83.00677545028513,,,
10.0,-81.0,-81.76652001380262,,,
10.0,-92.0,-88.09115846877496,,,
10.0,-83.0,-84.94464949293763,,,
10.0,-81.0,-82.50672203259458,,,
10.0,-81.0,-81.57551660485267,,,
10.0,-82.0,-81.83786177071367,,,
10.0,-82.0,-81.93806870728835,,,
10.0,-86.0,-84.44848030615096,,,
10.0,-87.0,-86.02540619991439,,,
10.0,-87.0,-86.62773829359222,,,
10.0,-87.0,-86.85780868086226,,,
10.0,-87.0,-86.94568774899457,,,
10.0,-84.0,-85.12515259987175,,,
10.0,-83.0,-83.8117360618708,,,
10.0,-87.0,-85.78219154074024,,,
10.0,-86.0,-85.91680457160003,,,
10.0,-85.0,-85.35018818530992,,,
10.0,-87.0,-86.36982796182953,,,
10.0,-84.0,-84.905193733929,,,
10.0,-85.0,-84.96378722870735,,,
10.0,-86.0,-85.60420194094293,,,
10.0,-88.0,-87.08488657162123,,,
10.0,-87.0,-87.03242378517086,,,
10.0,-84.0,-85.15828281764166,,,
10.0,-83.0,-83.82439067900422,,,
10.0,-88.0,-86.40505916312048,,,
10.0,-88.0,-87.39078681035723,,,
10.0,-85.0,-85.91319930170151,,,
10.0,-86.0,-85.9668450834972,,,
10.0,-88.0,-87.22340392628989,,,
10.0,-88.0,-87.70336669537245,,,
10.0,-86.0,-86.6506281823277,,,
10.0,-86.0,-86.24851785161061,,,
10.0,-86.0,-86.09492537250415,,,
10.0,-84.0,-84.80019028840205,,,
10.0,-90.0,-88.01384942520137,,,
10.0,-86.0,-86.76922203220248,,,
10.0,-84.0,-85.05774869390629,,,
10.0,-86.0,-85.64009202701618,,,
